meeting_year,article_number,title,source_doc,source_location,extraction_method
2026,26,Prudent Investor,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,27,General Stabilization Fund,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,28,Home Rule Petition: Establish Means-Tested Senior Citizen Property Tax Exemption,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,29,Adjusted Exemption Amount Clause 22I,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,30,Adjusted Exemption Amount Clause 22J,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,31,Coffin School Reuse,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,32,Gerry School Playground (aka Elm Street Park),2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,33,"Mary A. Alley Building, HVAC System, ADA Improvements, Roof",2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,34,Marblehead High School Roof and HVAC System,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,35,"Appropriation of Article 11, May 2, 2022",2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,36,Stormwater Enterprise Fund,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,37,"Rescind prior Acceptance of G.L. c. 31 sec. 58A, Age Limits (Police)",2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,38,Building Permit Fees,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,39,Electrical Installation Fees,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,40,Building Permit Fees,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,41,Electrical Installation,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,42,Cemetery Perpetual Care Trust Fund Transfer,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,43,Cemetery Sale of Lots Trust Fund Transfer,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,44,Parking Tickets – Increased Fee for Snow Emergency,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,45,Zoning bylaw by adding provision for the Storage of Fishing Gear and Lobster,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,46,"Appropriate Funds, Independent Audit",2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,47,Sustainability Coordinator,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,48,Residency Requirements,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,49,"Town Meeting, Parliamentarian",2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,50,Placement of Prop 2 ½ on ballot,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,51,Town Meeting Reconsideration Procedure,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,52,Amend Bylaws - Recall provision,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,200,-43,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
